"person_id","preference","region"
1,"Coffee","Urban"
2,"Coffee","Rural"
3,"Tea","Urban"
4,"Coffee","Rural"
5,"Coffee","Rural"
6,"Coffee","Urban"
7,"Coffee","Urban"
8,"Tea","Rural"
9,"Tea","Urban"
10,"Coffee","Urban"
11,"Tea","Rural"
12,"Tea","Urban"
13,"Tea","Rural"
14,"Tea","Urban"
15,"Tea","Urban"
16,"Coffee","Rural"
17,"Coffee","Urban"
18,"Coffee","Urban"
19,"Tea","Urban"
20,"Tea","Rural"
21,"Coffee","Rural"
22,"Coffee","Rural"
23,"Tea","Rural"
24,"Tea","Rural"
25,"Tea","Rural"
26,"Coffee","Rural"
27,"Coffee","Urban"
28,"Tea","Urban"
29,"Tea","Urban"
30,"Tea","Urban"
31,"Tea","Rural"
32,"Tea","Rural"
33,"Coffee","Rural"
34,"Tea","Rural"
35,"Coffee","Urban"
36,"Tea","Urban"
37,"Tea","Rural"
38,"Coffee","Urban"
39,"Tea","Urban"
40,"Tea","Urban"
41,"Tea","Urban"
42,"Coffee","Urban"
43,"Tea","Urban"
44,"Tea","Urban"
45,"Coffee","Urban"
46,"Tea","Urban"
47,"Tea","Urban"
48,"Coffee","Urban"
49,"Coffee","Urban"
50,"Coffee","Rural"
51,"Coffee","Urban"
52,"Coffee","Urban"
53,"Tea","Rural"
54,"Tea","Urban"
55,"Coffee","Urban"
56,"Coffee","Urban"
57,"Coffee","Urban"
58,"Coffee","Rural"
59,"Coffee","Rural"
60,"Coffee","Urban"
61,"Coffee","Rural"
62,"Tea","Urban"
63,"Coffee","Urban"
64,"Coffee","Urban"
65,"Coffee","Rural"
66,"Tea","Urban"
67,"Coffee","Rural"
68,"Coffee","Rural"
69,"Coffee","Rural"
70,"Coffee","Urban"
71,"Coffee","Rural"
72,"Tea","Rural"
73,"Coffee","Rural"
74,"Tea","Urban"
75,"Coffee","Urban"
76,"Coffee","Urban"
77,"Tea","Urban"
78,"Tea","Rural"
79,"Tea","Urban"
80,"Coffee","Urban"
81,"Coffee","Urban"
82,"Tea","Rural"
83,"Tea","Urban"
84,"Tea","Rural"
85,"Coffee","Urban"
86,"Coffee","Urban"
87,"Tea","Rural"
88,"Coffee","Rural"
89,"Coffee","Rural"
90,"Coffee","Urban"
91,"Coffee","Urban"
92,"Coffee","Rural"
93,"Tea","Urban"
94,"Coffee","Rural"
95,"Tea","Urban"
96,"Coffee","Urban"
97,"Tea","Rural"
98,"Tea","Urban"
99,"Coffee","Urban"
100,"Coffee","Urban"
101,"Coffee","Urban"
102,"Tea","Urban"
103,"Tea","Urban"
104,"Coffee","Rural"
105,"Tea","Urban"
106,"Tea","Rural"
107,"Coffee","Rural"
108,"Tea","Rural"
109,"Tea","Urban"
110,"Tea","Urban"
111,"Coffee","Rural"
112,"Coffee","Urban"
113,"Tea","Urban"
114,"Tea","Rural"
115,"Tea","Rural"
116,"Coffee","Urban"
117,"Tea","Urban"
118,"Tea","Rural"
119,"Coffee","Urban"
120,"Coffee","Urban"
121,"Coffee","Rural"
122,"Tea","Urban"
123,"Tea","Urban"
124,"Coffee","Urban"
125,"Coffee","Urban"
126,"Tea","Rural"
127,"Tea","Urban"
128,"Tea","Urban"
129,"Coffee","Urban"
130,"Coffee","Rural"
131,"Coffee","Rural"
132,"Coffee","Rural"
133,"Tea","Rural"
134,"Coffee","Rural"
135,"Tea","Urban"
136,"Tea","Rural"
137,"Coffee","Rural"
138,"Tea","Rural"
139,"Coffee","Rural"
140,"Coffee","Urban"
141,"Coffee","Urban"
142,"Coffee","Urban"
143,"Tea","Urban"
144,"Coffee","Urban"
145,"Tea","Rural"
146,"Coffee","Urban"
147,"Coffee","Urban"
148,"Coffee","Urban"
149,"Coffee","Urban"
150,"Coffee","Rural"
151,"Coffee","Rural"
152,"Coffee","Urban"
153,"Coffee","Urban"
154,"Coffee","Urban"
155,"Tea","Urban"
156,"Coffee","Urban"
157,"Tea","Urban"
158,"Coffee","Urban"
159,"Coffee","Urban"
160,"Coffee","Urban"
161,"Tea","Urban"
162,"Coffee","Urban"
163,"Tea","Rural"
164,"Coffee","Urban"
165,"Tea","Urban"
166,"Coffee","Urban"
167,"Coffee","Rural"
168,"Tea","Urban"
169,"Tea","Urban"
170,"Coffee","Urban"
171,"Coffee","Rural"
172,"Coffee","Urban"
173,"Coffee","Rural"
174,"Coffee","Rural"
175,"Coffee","Rural"
176,"Tea","Rural"
177,"Coffee","Urban"
178,"Coffee","Urban"
179,"Tea","Rural"
180,"Coffee","Urban"
181,"Tea","Rural"
182,"Tea","Urban"
183,"Coffee","Rural"
184,"Coffee","Urban"
185,"Tea","Urban"
186,"Tea","Urban"
187,"Tea","Urban"
188,"Coffee","Urban"
189,"Tea","Rural"
190,"Coffee","Rural"
191,"Tea","Urban"
192,"Coffee","Urban"
193,"Tea","Rural"
194,"Tea","Rural"
195,"Tea","Rural"
196,"Tea","Urban"
197,"Coffee","Urban"
198,"Tea","Rural"
199,"Tea","Urban"
200,"Tea","Urban"
201,"Tea","Urban"
202,"Coffee","Rural"
203,"Tea","Rural"
204,"Coffee","Urban"
205,"Coffee","Urban"
206,"Coffee","Rural"
207,"Tea","Urban"
208,"Tea","Urban"
209,"Coffee","Urban"
210,"Tea","Urban"
211,"Tea","Urban"
212,"Coffee","Urban"
213,"Tea","Urban"
214,"Coffee","Rural"
215,"Coffee","Urban"
216,"Tea","Rural"
217,"Coffee","Urban"
218,"Tea","Urban"
219,"Coffee","Rural"
220,"Coffee","Rural"
221,"Coffee","Urban"
222,"Tea","Rural"
223,"Tea","Rural"
224,"Tea","Rural"
225,"Coffee","Urban"
226,"Coffee","Urban"
227,"Coffee","Urban"
228,"Tea","Urban"
229,"Tea","Rural"
230,"Tea","Rural"
231,"Coffee","Rural"
232,"Coffee","Urban"
233,"Tea","Urban"
234,"Coffee","Urban"
235,"Coffee","Urban"
236,"Coffee","Urban"
237,"Tea","Urban"
238,"Coffee","Rural"
239,"Coffee","Urban"
240,"Coffee","Rural"
241,"Tea","Urban"
242,"Coffee","Rural"
243,"Coffee","Urban"
244,"Coffee","Rural"
245,"Tea","Urban"
246,"Tea","Rural"
247,"Coffee","Urban"
248,"Tea","Rural"
249,"Coffee","Rural"
250,"Coffee","Rural"
251,"Coffee","Urban"
252,"Coffee","Urban"
253,"Tea","Urban"
254,"Coffee","Urban"
255,"Coffee","Urban"
256,"Coffee","Rural"
257,"Tea","Urban"
258,"Coffee","Urban"
259,"Coffee","Urban"
260,"Coffee","Rural"
261,"Coffee","Rural"
262,"Tea","Rural"
263,"Coffee","Rural"
264,"Tea","Rural"
265,"Coffee","Urban"
266,"Coffee","Urban"
267,"Coffee","Urban"
268,"Coffee","Urban"
269,"Tea","Urban"
270,"Coffee","Urban"
271,"Tea","Rural"
272,"Coffee","Urban"
273,"Tea","Urban"
274,"Coffee","Urban"
275,"Coffee","Rural"
276,"Coffee","Rural"
277,"Coffee","Rural"
278,"Coffee","Urban"
279,"Coffee","Urban"
280,"Tea","Rural"
